wine_name,wine_style,viticultural_domain,grape_variety,region,alcohol_content,allergens,food_pairing,wine_rating,wine_rating_nb,bottle_price,bottle_image,wine_url
Sofia Rosé 2018,Californian Rosé,Francis Ford Coppola Winery,100 % Shiraz/Syrah,États-Unis / California / Central Coast / Monterey County,12.8 %,"sulfites, allergènes (œufs), allergènes (lait)","Crustacés,Mets épicés,Apéritif et snacks,Desserts fruités,Apéritif","3,9",622 notes,"€23,90",https://images.vivino.com/thumbs/3IcuRXFMTvG1lDu5ZacTgQ_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-sofia-rose/w/6339?year=2018&price_id=22631435
Diamond Collection Syrah - Shiraz 2016,Syrah (Californie),Francis Ford Coppola Winery,100 % Shiraz/Syrah,États-Unis / California,13.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","3,9",556 notes,"€21,90",https://images.vivino.com/thumbs/tSYpepRLTke0ZcLr_VyNhg_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-diamond-collection-syrah-shiraz/w/6301?year=2016&price_id=21059963
Chardonnay 2019,Chardonnay (Californie),Rebel Ridge,100 % Chardonnay,États-Unis / California,13.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","3,9",344 notes,"€9,80",https://images.vivino.com/thumbs/kxSnssaeSgeGSyzR5Ca7Tw_pb_x600.png,https://www.vivino.com/FR/fr/rebel-ridge-chardonnay/w/9078717?year=2019&price_id=26101597
Arthur Chardonnay 2017,Chardonnay (Oregon),Domaine Drouhin,100 % Chardonnay,États-Unis / Oregon / Willamette Valley / Dundee Hills,13.9 %,"sulfites, allergènes (œufs)","Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","3,9",265 notes,"€33,55",https://images.vivino.com/thumbs/iI6zRA07RcGVe43P5yrmqw_pb_x600.png,https://www.vivino.com/FR/fr/domaine-drouhin-oregon-arthur-chardonnay/w/9835?year=2017&price_id=25096812
Burlesque Old Vine Zinfandel 2019,Zinfandel (Californie),Burlesque,Zinfandel,États-Unis / California,,sulfites,"Bœuf,Agneau,Volaille","3,9",44 notes,"€10,04",https://images.vivino.com/thumbs/CqKldlmGRgK6WmDkBORpAg_pb_x600.png,https://www.vivino.com/FR/fr/boutinot-vineyards-burlesque-old-vine-zinfandel/w/1188866?year=2019&price_id=25194542
Cabernet Sauvignon 2015,Cabernet Sauvignon (Etat de Washington),Chateau Ste. Michelle,100 % Cabernet Sauvignon,États-Unis / Washington / Columbia Valley,13.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","3,8",6838 notes,"€14,80",https://images.vivino.com/thumbs/Ul1tfXhBTD-ZasLdterK6A_pb_x600.png,https://www.vivino.com/FR/fr/chateau-ste-michelle-cabernet-sauvignon/w/1110343?year=2015&price_id=25144379
Diamond Collection Cabernet Sauvignon 2018,Cabernet Sauvignon (Californie),Francis Ford Coppola Winery,100 % Cabernet Sauvignon,États-Unis / California,13.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","3,8",2688 notes,"€25,90",https://images.vivino.com/thumbs/UVGmV68bQC6pc42Ijq5-fA_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-diamond-collection-cabernet-sauvignon/w/6304?year=2018&price_id=24885521
Merlot 2014,Merlot (Etat de Washington),Chateau Ste. Michelle,100 % Merlot,États-Unis / Washington / Columbia Valley,13.5 %,sulfites,"Bœuf,Agneau,Veau","3,8",2204 notes,"€14,80",https://images.vivino.com/thumbs/rbfbKV2dSsu6BneLQQGClA_pb_x600.png,https://www.vivino.com/FR/fr/chateau-ste-michelle-merlot/w/1132669?year=2014&price_id=25144376
Diamond Collection Chardonnay 2018,Chardonnay (Californie),Francis Ford Coppola Winery,100 % Chardonnay,États-Unis / California / Central Coast / Monterey County,14 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","3,8",1219 notes,"€21,90",https://images.vivino.com/thumbs/2q2Pf6mfRJKZYKs10nEgCg_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-diamond-collection-chardonnay/w/6307?year=2018&price_id=22567314
Sofia Blanc de Blancs 2018,Mousseux (Californie),Francis Ford Coppola Winery,"Sauvignon Blanc, Pinot Blanc",États-Unis / California / Central Coast / Monterey County,12 %,sulfites,"Crustacés,Apéritif et snacks,Poisson maigre,Apéritif","3,8",294 notes,"€26,90",https://images.vivino.com/thumbs/vcs2L21FSbSwHOjPXBCbbg_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-sofia-blanc-de-blancs/w/6336?year=2018&price_id=21059864
Diamond Collection Red Blend 2017,Vin rouge de Californie (assemblage),Francis Ford Coppola Winery,"68 % Petit Verdot, 16 % Alicante Bouschet, 10 % Cabernet Sauvignon, 6 % Shiraz/Syrah",États-Unis / California,13.9 %,sulfites,"Bœuf,Agneau,Veau,Volaille","3,8",252 notes,"€25,90",https://images.vivino.com/thumbs/DxV6WhPjTl2GcdF0Wbl-Mg_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-diamond-collection-red-blend/w/1123317?year=2017&price_id=22567315
Besson Vineyard Vieilles Vignes Grenache 2018,,Birichino,100 % Grenache,États-Unis / California / Central Coast,13.5 %,sulfites,,"3,8",185 notes,€32,https://images.vivino.com/thumbs/5sr9f88TQxSN-TgpIyvSQw_pb_x600.png,https://www.vivino.com/FR/fr/birichino-besson-vineyard-vieilles-vignes-grenache/w/2325371?year=2018&price_id=23837547
Diamond Collection Zinfandel 2018,Zinfandel (Californie),Francis Ford Coppola Winery,100 % Zinfandel,États-Unis / California,13.5 %,"sulfites, allergènes (œufs), allergènes (lait)","Bœuf,Agneau,Volaille","3,8",144 notes,"€21,90",https://images.vivino.com/thumbs/aoI76a0RQUOvK536xZXRvg_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-diamond-collection-zinfandel/w/6288?year=2018&price_id=24885519
Saint Georges Old Vines Zinfandel 2015,Zinfandel (Californie),Birichino,100 % Zinfandel,États-Unis / California / Central Coast,13.5 %,sulfites,"Bœuf,Agneau,Volaille","3,8",78 notes,€34,https://images.vivino.com/thumbs/q_WVzUsETUqM92vxCoALXw_pb_x600.png,https://www.vivino.com/FR/fr/birichino-saint-georges-old-vines-zinfandel/w/3885158?year=2015&price_id=15866708
Saint Georges Old Vines Zinfandel 2017,Zinfandel (Californie),Birichino,100 % Zinfandel,États-Unis / California / Central Coast,,sulfites,"Bœuf,Agneau,Volaille","3,8",69 notes,€32,https://images.vivino.com/thumbs/q_WVzUsETUqM92vxCoALXw_pb_x600.png,https://www.vivino.com/FR/fr/birichino-saint-georges-old-vines-zinfandel/w/3885158?year=2017&price_id=24842271
Terroir Series Pinot Noir 2018,Pinot Noir (Oregon),Alexana,100 % Pinot Noir,États-Unis / Oregon / Willamette Valley,13.5 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,3",187 notes,"€29,65",https://images.vivino.com/thumbs/FAB6PPqpSOerjE9b6HXx7A_pb_x600.png,https://www.vivino.com/FR/fr/alexana-terroir-series-pinot-noir/w/2259919?year=2018&price_id=25513633
Pinot Noir 2007,Pinot Noir (Californie),Navarro Vineyards,Pinot Noir,États-Unis / California / North Coast / Mendocino County / Anderson Valley,,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,3",65 notes,€35,https://images.vivino.com/thumbs/GVFv-hloQ4q4DnpaXzHw3A_pb_x600.png,https://www.vivino.com/FR/fr/navarro-vineyards-pinot-noir/w/5500?year=2007&price_id=11789240
Cabernet Sauvignon 2015,Cabernet Sauvignon (Californie),Jacuzzi,Cabernet Sauvignon,États-Unis / California / Central Coast / San Francisco Bay / Contra Costa County,,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","4,3",46 notes,"€28,98",https://images.vivino.com/thumbs/SKGraIk9QL2dpR8Bz86dEQ_150x200.jpg,https://www.vivino.com/FR/fr/jacuzzi-family-vineyard-cabernet-sauvignon/w/1813330?year=2015&price_id=20336720
(B) Old Vine Zinfandel Lodi 2017,Zinfandel (Californie),Brazin,100 % Zinfandel,États-Unis / California / Central Valley / Lodi,14.5 %,sulfites,"Bœuf,Agneau,Volaille","4,2",2204 notes,€25,https://images.vivino.com/thumbs/cDvJF48WTNK0MMcWXkfqIQ_pb_x600.png,https://www.vivino.com/FR/fr/brazin-b-old-vine-zinfandel-lodi/w/1122620?year=2017&price_id=23604685
Panamera Chardonnay 2019,Chardonnay (Californie),Story Ridge Vineyards,100 % Chardonnay,États-Unis / California,12 %,"sulfites, allergènes (œufs)","Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","4,2",1402 notes,"€11,45",https://images.vivino.com/thumbs/0J5wu5J4RBaYPaha-0K36Q_pb_x600.png,https://www.vivino.com/FR/fr/story-ridge-panamera-chardonnay/w/1250995?year=2019&price_id=22966648
Director's Cut Zinfandel 2017,Zinfandel (Californie),Francis Ford Coppola Winery,100 % Zinfandel,États-Unis / California / North Coast / Sonoma County / Dry Creek Valley,14.5 %,sulfites,"Bœuf,Agneau,Volaille","4,2",848 notes,"€24,50",https://images.vivino.com/thumbs/IfWE-G0SSPaqibUtqVIToQ_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-director-s-cut-zinfandel/w/6274?year=2017&price_id=21685613
Old Vine Zinfandel 'Epicenter' 2016,Zinfandel (Californie),Mettler Family Vineyards,100 % Zinfandel,États-Unis / California / Central Valley / Lodi,14.5 %,sulfites,"Bœuf,Agneau,Volaille","4,2",375 notes,"€27,85",https://images.vivino.com/thumbs/LKISOkkOTa-LoV8qJZRMGQ_pb_x600.png,https://www.vivino.com/FR/fr/mettler-family-vineyards-old-vine-zinfandel-epicenter/w/1109085?year=2016&price_id=20371543
Red 2015,Assemblages Bordeaux (Californie),Tradition,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Petite Sirah",États-Unis / California / North Coast / Napa County / Napa Valley,,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","4,2",124 notes,€23,https://images.vivino.com/thumbs/sU0I3BpaTBaJ8p3Ki6wrdQ_pb_x600.png,https://www.vivino.com/FR/fr/cuvee-tradition-red/w/2782790?year=2015&price_id=14868113
Chardonnay 2016,Chardonnay (Californie),Gallo Signature Series,100 % Chardonnay,États-Unis / California / North Coast / Sonoma County / Russian River Valley,14.5 %,"sulfites, allergènes (œufs), allergènes (lait)","Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","4,2",103 notes,"€30,90",https://images.vivino.com/thumbs/h6yQAsc4Q-yG3O7H4SUVFA_pb_x600.png,https://www.vivino.com/FR/fr/gallo-signature-series-chardonnay/w/1196226?year=2016&price_id=22308845
Red 2016,Assemblages Bordeaux (Californie),Tradition,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Petite Sirah",États-Unis / California / North Coast / Napa County / Napa Valley,12.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","4,2",81 notes,€15,https://images.vivino.com/thumbs/sU0I3BpaTBaJ8p3Ki6wrdQ_pb_x600.png,https://www.vivino.com/FR/fr/cuvee-tradition-red/w/2782790?year=2016&price_id=14867932
Linda Vista Vineyard Chardonnay 2019,Napa Valley Chardonnay,Matthiasson,100 % Chardonnay,États-Unis / California / North Coast / Napa County / Napa Valley,12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","4,2",73 notes,"€25,09",https://images.vivino.com/thumbs/ojHxo2EpRYqzAUlG9QakoA_pb_x600.png,https://www.vivino.com/FR/fr/matthiasson-linda-vista-vineyard-chardonnay/w/1464192?year=2019&price_id=24571529
Zinfandel Old Vine 2018,Zinfandel (Californie),Dry Creek Vineyard,100 % Zinfandel,États-Unis / California / North Coast / Sonoma County / Dry Creek Valley,14.5 %,sulfites,"Bœuf,Agneau,Volaille","4,2",60 notes,"€29,86",https://images.vivino.com/thumbs/oNQPiffUQ8y4UyKnWS8oDg_pb_x600.png,https://www.vivino.com/FR/fr/dry-creek-vineyard-zinfandel-old-vine/w/75894?year=2018&price_id=25401536
Allomi Cabernet Sauvignon 2019,Napa Valley Cabernet Sauvignon,The Hess Collection,100 % Cabernet Sauvignon,États-Unis / California / North Coast / Napa County / Napa Valley,14.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Fromage affiné et à pâte dure,Volaille","4,2",56 notes,"€32,90",https://images.vivino.com/thumbs/g8BkR_1QRESXZwMdNZdbbA_pb_x600.png,https://www.vivino.com/FR/fr/hess-collection-winery-allomi-cabernet-sauvignon/w/1141354?year=2019&price_id=26682882
Pinot Noir,Pinot Noir (Californie),Meiomi,Pinot Noir,États-Unis / California,,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",142687 notes,"€22,28",https://images.vivino.com/thumbs/fjBaM_ZHTxqQtDa5Qj94JQ_pb_x600.png,https://www.vivino.com/FR/fr/meiomi-pinot-noir/w/1136137?price_id=23095513
Zinfandel 2018,Zinfandel (Californie),1000 Stories,100 % Zinfandel,États-Unis / California,14.5 %,sulfites,"Bœuf,Agneau,Volaille","4,1",8538 notes,"€19,70",https://images.vivino.com/thumbs/tQ9xfrXeRy2hOWQvcjozkw_pb_x600.png,https://www.vivino.com/FR/fr/ten-zero-zero-stories-zinfandel/w/2918277?year=2018&price_id=25868282
Sonoma Zinfandel 2017,Zinfandel (Californie),Seghesio,100 % Zinfandel,États-Unis / California / North Coast / Sonoma County,14.8 %,sulfites,"Bœuf,Agneau,Volaille","4,1",5122 notes,"€35,90",https://images.vivino.com/thumbs/4Tlfbm8US9apyZB1QHThIw_pb_x600.png,https://www.vivino.com/FR/fr/seghesio-winery-sonoma-zinfandel/w/6369?year=2017&price_id=24337710
Allomi Cabernet Sauvignon 2018,Napa Valley Cabernet Sauvignon,The Hess Collection,100 % Cabernet Sauvignon,États-Unis / California / North Coast / Napa County / Napa Valley,14.8 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Fromage affiné et à pâte dure,Volaille","4,1",3052 notes,"€26,85",https://images.vivino.com/thumbs/g8BkR_1QRESXZwMdNZdbbA_pb_x600.png,https://www.vivino.com/FR/fr/hess-collection-winery-allomi-cabernet-sauvignon/w/1141354?year=2018&price_id=25189749
Cabernet Sauvignon 2018,Cabernet Sauvignon (Californie),Liberty School,100 % Cabernet Sauvignon,États-Unis / California / Central Coast / San Luis Obispo County / Paso Robles,14.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","4,1",2737 notes,"€22,70",https://images.vivino.com/thumbs/mQcl69crSvC0WnemV8H3wQ_pb_x600.png,https://www.vivino.com/FR/fr/liberty-school-winery-cabernet-sauvignon/w/81902?year=2018&price_id=26415345
Cabernet Sauvignon 2018,Napa Valley Cabernet Sauvignon,Black Stallion,100 % Cabernet Sauvignon,États-Unis / California / North Coast / Napa County / Napa Valley,14.5 %,"sulfites, allergènes (œufs), allergènes (lait)","Bœuf,Agneau,Gibier (cerf, chevreuil),Fromage affiné et à pâte dure,Volaille","4,1",2043 notes,"€29,99",https://images.vivino.com/thumbs/EuImGKoYR9C0I78cIUZGVA_pb_x600.png,https://www.vivino.com/FR/fr/black-stallion-cabernet-sauvignon/w/1166077?year=2018&price_id=24769842
Sexual Chocolate Red 2018,Vin rouge de Californie (assemblage),SLO Down,100 % Shiraz/Syrah,États-Unis / California,14.5 %,sulfites,"Bœuf,Agneau,Veau,Volaille","4,1",734 notes,"€34,93",https://images.vivino.com/thumbs/RTDsR9wuQzqPoLsZ_fY3gQ_pb_x600.png,https://www.vivino.com/FR/fr/slo-down-sexual-chocolate-red/w/1947572?year=2018&price_id=24093626
Lodi Zinfandel 2016,Zinfandel (Californie),Castle Rock,100 % Zinfandel,États-Unis / California / Central Valley / Lodi,14.7 %,sulfites,"Bœuf,Agneau,Volaille","4,1",547 notes,"€21,73",https://images.vivino.com/thumbs/MNsziGu8R5aISYWHOpxPNA_pb_x600.png,https://www.vivino.com/FR/fr/castle-rock-winery-lodi-zinfandel/w/1621642?year=2016&price_id=19582648
Zinfandel 2019,Zinfandel (Californie),Carnivor,100 % Zinfandel,États-Unis / California,14.5 %,"sulfites, allergènes (œufs), allergènes (lait)","Bœuf,Agneau,Volaille","4,1",536 notes,"€9,25",https://images.vivino.com/thumbs/c-iuTL1rQ5WM1Ld4IVABeA_pb_x600.png,https://www.vivino.com/FR/fr/carnivor-zinfandel-california/w/5217652?year=2019&price_id=26295492
Brut 2016,Mousseux (Californie),Domaine Carneros,"53 % Chardonnay, 47 % Pinot Noir",États-Unis / California / North Coast / Napa County / Napa Valley / Los Carneros,12.5 %,sulfites,"Crustacés,Apéritif et snacks,Poisson maigre,Apéritif","4,1",516 notes,"€34,98",https://images.vivino.com/thumbs/FyrtoTWjQeqUlDJH5AfNIg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-carneros-brut/w/1204236?year=2016&price_id=21412649
California Zinfandel 2015,Zinfandel (Californie),Beran,100 % Zinfandel,États-Unis / California,15 %,sulfites,"Bœuf,Agneau,Volaille","4,1",513 notes,"€20,69",https://images.vivino.com/thumbs/63LcPixeRPuf8mvXk8bEHQ_pb_x600.png,https://www.vivino.com/FR/fr/beran-california-zinfandel/w/3057856?year=2015&price_id=22868083
Zinfandel 2016,Zinfandel (Californie),Buena Vista,100 % Zinfandel,États-Unis / California / North Coast / Sonoma County,15 %,sulfites,"Bœuf,Agneau,Volaille","4,1",470 notes,€21,https://images.vivino.com/thumbs/eVYa3TtiSCWU_rwa6dud4Q_pb_x600.png,https://www.vivino.com/FR/fr/buena-vista-winery-zinfandel/w/1752795?year=2016&price_id=22021421
